,kanji,kana,wrong,choose,ratio
事故,事故,じこ,2,2,1.0
雇用,雇用,こよう,2,2,1.0
帰国,帰国,きこく,2,2,1.0
複数,複数,ふくすう,2,2,1.0
納付,納付,のうふ,1,2,0.5
夫婦,夫婦,ふうふ,2,2,1.0
勝負,勝負,しょうぶ,2,2,1.0
工夫,工夫,くふう,2,2,1.0
根幹,根幹,こんかん,1,2,0.5
漁港,漁港,ぎょこう,2,2,1.0
広告,広告,こうこく,1,2,0.5
革新,革新,かくしん,1,2,0.5
記述式,記述式,きじゅつしき,2,2,1.0
誓約書,誓約書,せいやくしょ,2,2,1.0
疑似,疑似,ぎじ,2,2,1.0
自粛,自粛,じしゅく,1,2,0.5
挑戦,挑戦,ちょうせん,1,2,0.5
途中,途中,とちゅう,1,2,0.5
訪日,訪日,ほうにち,2,2,1.0
是非,是非,ぜひ,1,2,0.5
台風,台風,たいふう,1,2,0.5
没頭,没頭,ぼっとう,2,2,1.0
遊牧,遊牧,ゆうぼく,1,1,1.0
凝視,凝視,ぎょうし,1,1,1.0
派出所,派出所,はしゅつじょ,1,1,1.0
栽培,栽培,さいばい,1,1,1.0
盆地,盆地,ぼんち,1,1,1.0
休憩,休憩,きゅうけい,1,1,1.0
告発,告発,こくはつ,1,1,1.0
魔法,魔法,まほう,1,1,1.0
範囲,範囲,はんい,1,1,1.0
反応,反応,はんのう,1,1,1.0
返還,返還,へんかん,1,1,1.0
制定,制定,せいてい,1,1,1.0
直前,直前,ちょくぜん,1,1,1.0
世界中,世界中,せかいじゅう,1,1,1.0
被災地,被災地,ひさいち,1,1,1.0
勘定,勘定,かんじょう,1,1,1.0
都合,都合,つごう,1,1,1.0
極端,極端,きょくたん,1,1,1.0
幼稚園,幼稚園,ようちえん,1,1,1.0
油断,油断,ゆだん,1,1,1.0
世帯,世帯,せたい,1,1,1.0
単語,単語,たんご,1,1,1.0
強盗,強盗,ごうとう,1,1,1.0
上等,上等,じょうとう,1,1,1.0
登山隊,登山隊,とざんたい,1,1,1.0
修理,修理,しゅうり,1,1,1.0
休職,休職,きゅうしょく,1,1,1.0
続行,続行,ぞっこう,1,1,1.0
備蓄,備蓄,びちく,1,1,1.0
玄関,玄関,げんかん,1,1,1.0
初旬,初旬,しょじゅん,1,1,1.0
延期,延期,えんき,1,1,1.0
大衆,大衆,たいしゅう,1,1,1.0
回答,回答,かいとう,1,1,1.0
地帯,地帯,ちたい,1,1,1.0
家屋,家屋,かおく,1,1,1.0
充実,充実,じゅうじつ,1,1,1.0
放出,放出,ほうしゅつ,1,1,1.0
接触,接触,せっしょく,1,1,1.0
免除,免除,めんじょ,1,1,1.0
伝統,伝統,でんとう,1,1,1.0
観光船,観光船,かんこうせん,1,1,1.0
寺院,寺院,じいん,1,1,1.0
風俗,風俗,ふうぞく,1,1,1.0
随分,随分,ずいぶん,1,1,1.0
乗員,乗員,じょういん,1,1,1.0
懲役,懲役,ちょうえき,1,1,1.0
損失,損失,そんしつ,1,1,1.0
浴場,浴場,よくじょう,1,1,1.0
平常,平常,へいじょう,1,1,1.0
現場,現場,げんば,1,1,1.0
賠償,賠償,ばしょう,1,1,1.0
勧誘,勧誘,かんゆう,1,1,1.0
熱帯,熱帯,ねったい,1,1,1.0
裁判,裁判,さいばん,1,1,1.0
操縦,操縦,そうじゅう,1,1,1.0
挽回策,挽回策,ばんかいさく,1,1,1.0
測候所,測候所,そっこうじょ,1,1,1.0
契約,契約,けいやく,1,1,1.0
詐欺,詐欺,さぎ,1,1,1.0
